ScientificName_accepted	Family	Genus	Anitas_Garden	CAPE_KRI	KRI_LAGOON	KABUI_STRAIT	MELISSAS_GARDEN	SECRET_LAGOON	SARDINE_REEF	WEST_MANSUAR
Trimma striatum	Gobiidae	Trimma	0	0	1	0	0	1	0	0
Scarus quoyi	Scaridae	Scarus	1	0	0	0	0	1	0	0
Trimma tevegae	Gobiidae	Trimma	1	0	0	0	0	1	0	0
Epinephelus maculatus	Serranidae	Epinephelus	0	0	0	0	0	1	0	0
Plectropomus areolatus	Serranidae	Plectropomus	0	0	0	0	0	1	0	0
Zoramia fragilis	Apogonidae	Zoramia	0	0	0	0	0	1	0	0
Ostorhinchus nanus	Apogonidae	Ostorhinchus	0	0	0	0	0	1	0	0
Neopomacentrus nemurus	Pomacentridae	Neopomacentrus	0	0	0	0	0	1	0	0
Scarus hypselopterus	Scaridae	Scarus	0	0	0	0	0	1	0	0
Ucla xenogrammus	Tripterygiidae	Ucla	0	0	0	0	0	1	0	0
Ecsenius stigmatura	Blenniidae	Ecsenius	0	0	0	0	0	1	0	0
Salarias sibogai	Blenniidae	Salarias	0	0	0	0	0	1	0	0
Gobiodon okinawae	Gobiidae	Gobiodon	0	0	0	0	0	1	0	0
Istigobius decoratus	Gobiidae	Istigobius	0	0	0	0	0	1	0	0
Luposicya lupus	Gobiidae	Luposicya	0	0	0	0	0	1	0	0
Signigobius biocellatus	Gobiidae	Signigobius	0	0	0	0	0	1	0	0
Trimma griffithsi	Gobiidae	Trimma	0	0	0	0	0	1	0	0
Aioliops megastigma	Microdesmidae	Aioliops	0	0	0	0	0	1	0	0
Parioglossus philippinus	Microdesmidae	Parioglossus	0	0	0	0	0	1	0	0
Cephalopholis cyanostigma	Serranidae	Cephalopholis	1	0	1	1	1	0	0	0
Lutjanus carponotatus	Lutjanidae	Lutjanus	0	0	1	1	1	0	0	0
Carangoides fulvoguttatus	Carangidae	Carangoides	1	1	0	1	1	0	0	0
Chaetodon melannotus	Chaetodontidae	Chaetodon	1	0	0	1	1	0	0	0
Arothron mappa	Tetraodontidae	Arothron	0	0	0	1	1	0	0	0
Pseudanthias tuka	Serranidae	Pseudanthias	1	1	1	0	1	0	0	0
Labroides pectoralis	Labridae	Labroides	1	1	1	0	1	0	0	0
Novaculichthys taeniourus	Labridae	Novaculichthys	1	1	1	0	1	0	0	0
Meiacanthus grammistes	Blenniidae	Meiacanthus	1	1	1	0	1	0	0	0
Aulostomus chinensis	Aulostomidae	Aulostomus	0	1	1	0	1	0	0	0
Macropharyngodon negrosensis	Labridae	Macropharyngodon	0	1	1	0	1	0	0	0
Ecsenius lividanalis	Blenniidae	Ecsenius	0	1	1	0	1	0	0	0
Diploprion bifasciatum	Serranidae	Diploprion	1	0	1	0	1	0	0	0
Halichoeres scapularis	Labridae	Halichoeres	1	0	1	0	1	0	0	0
Cephalopholis spiloparaea	Serranidae	Cephalopholis	0	0	1	0	1	0	0	0
Variola albimarginata	Serranidae	Variola	0	0	1	0	1	0	0	0
Lutjanus fulviflamma	Lutjanidae	Lutjanus	0	0	1	0	1	0	0	0
Chaetodontoplus dimidiatus	Pomacanthidae	Chaetodontoplus	0	0	1	0	1	0	0	0
Cheilinus oxycephalus	Labridae	Cheilinus	0	0	1	0	1	0	0	0
Choerodon zosterophorus	Labridae	Choerodon	0	0	1	0	1	0	0	0
Parapercis hexophtalma	Pinguipedidae	Parapercis	0	0	1	0	1	0	0	0
Eviota pellucida	Gobiidae	Eviota	0	0	1	0	1	0	0	0
Aluterus scriptus	Monacanthidae	Aluterus	0	0	1	0	1	0	0	0
Carangoides plagiotaenia	Carangidae	Carangoides	1	1	0	0	1	0	0	0
Coris pictoides	Labridae	Coris	0	1	0	0	1	0	0	0
Synodus jaculum	Synodontidae	Synodus	0	0	0	0	1	0	0	0
Synodus variegatus	Synodontidae	Synodus	0	0	0	0	1	0	0	0
Myripristis berndti	Holocentridae	Myripristis	0	0	0	0	1	0	0	0
Sargocentron melanospilos	Holocentridae	Sargocentron	0	0	0	0	1	0	0	0
Cirrhitichthys aprinus	Cirrhitidae	Cirrhitichthys	0	0	0	0	1	0	0	0
Apogonichthys ocellatus	Apogonidae	Apogonichthys	0	0	0	0	1	0	0	0
Gymnocaesio gymnoptera	Caesionidae	Gymnocaesio	0	0	0	0	1	0	0	0
Amphiprion perideraion	Pomacentridae	Amphiprion	0	0	0	0	1	0	0	0
Oxycheilinus unifasciatus	Labridae	Oxycheilinus	0	0	0	0	1	0	0	0
Ecsenius bathi	Blenniidae	Ecsenius	0	0	0	0	1	0	0	0
Fusigobius melacron	Gobiidae	Fusigobius	0	0	0	0	1	0	0	0
Eviota sebreei	Gobiidae	Eviota	0	0	0	0	1	0	0	0
Ptereleotris heteroptera	Microdesmidae	Ptereleotris	0	0	0	0	1	0	0	0
Acanthurus leucocheilus	Acanthuridae	Acanthurus	0	0	0	0	1	0	0	0
Sphyraena flavicauda	Sphyraenidae	Sphyraena	0	0	0	0	1	0	0	0
Scomberomorus commerson	Scombridae	Scomberomorus	0	0	0	0	1	0	0	0
Arothron caeruleopunctatus	Tetraodontidae	Arothron	0	0	0	0	1	0	0	0
Lutjanus biguttatus	Lutjanidae	Lutjanus	0	1	1	1	0	0	0	0
Pentapodus trivittatus	Nemipteridae	Pentapodus	0	1	1	1	0	0	0	0
Caranx papuensis	Carangidae	Caranx	0	0	1	1	0	0	0	0
Neoglyphidodon oxyodon	Pomacentridae	Neoglyphidodon	0	0	1	1	0	0	0	0
Pomacentrus tripunctatus	Pomacentridae	Pomacentrus	0	0	1	1	0	0	0	0
Ptereleotris microlepis	Microdesmidae	Ptereleotris	0	0	1	1	0	0	0	0
Atherinomorus lacunosus	Atherinidae	Atherinomorus	0	0	0	1	0	0	0	0
Zenarchopterus dunckeri	Zenarchopteridae	Zenarchopterus	0	0	0	1	0	0	0	0
Sargocentron rubrum	Holocentridae	Sargocentron	0	0	0	1	0	0	0	0
Plectropomus maculatus	Serranidae	Plectropomus	0	0	0	1	0	0	0	0
Fibramia thermalis	Apogonidae	Fibramia	0	0	0	1	0	0	0	0
Sphaeramia orbicularis	Apogonidae	Sphaeramia	0	0	0	1	0	0	0	0
Selar boops	Carangidae	Selar	0	0	0	1	0	0	0	0
Lutjanus argentimaculatus	Lutjanidae	Lutjanus	0	0	0	1	0	0	0	0
Lutjanus ehrenbergii	Lutjanidae	Lutjanus	0	0	0	1	0	0	0	0
Lutjanus rivulatus	Lutjanidae	Lutjanus	0	0	0	1	0	0	0	0
Lutjanus russellii	Lutjanidae	Lutjanus	0	0	0	1	0	0	0	0
Upeneus tragula	Mullidae	Upeneus	0	0	0	1	0	0	0	0
Chaetodon lineolatus	Chaetodontidae	Chaetodon	0	0	0	1	0	0	0	0
Chelmon rostratus	Chaetodontidae	Chelmon	0	0	0	1	0	0	0	0
Abudefduf bengalensis	Pomacentridae	Abudefduf	0	0	0	1	0	0	0	0
Abudefduf lorenzi	Pomacentridae	Abudefduf	0	0	0	1	0	0	0	0
Amblypomacentrus breviceps	Pomacentridae	Amblypomacentrus	0	0	0	1	0	0	0	0
Neopomacentrus filamentosus	Pomacentridae	Neopomacentrus	0	0	0	1	0	0	0	0
Pomacentrus cuneatus	Pomacentridae	Pomacentrus	0	0	0	1	0	0	0	0
Pomacentrus littoralis	Pomacentridae	Pomacentrus	0	0	0	1	0	0	0	0
Salarias patzneri	Blenniidae	Salarias	0	0	0	1	0	0	0	0
Salarias segmentatus	Blenniidae	Salarias	0	0	0	1	0	0	0	0
Amblygobius buanensis	Gobiidae	Amblygobius	0	0	0	1	0	0	0	0
Cryptocentrus cinctus	Gobiidae	Cryptocentrus	0	0	0	1	0	0	0	0
Valenciennea muralis	Gobiidae	Valenciennea	0	0	0	1	0	0	0	0
Parioglossus formosus	Microdesmidae	Parioglossus	0	0	0	1	0	0	0	0
Gnatholepis anjerensis	Gobiidae	Gnatholepis	0	0	4	0	0	0	0	0
Kyphosus vaigiensis	Kyphosidae	Kyphosus	1	1	1	0	0	0	0	0
Chromis atripes	Pomacentridae	Chromis	1	1	1	0	0	0	0	0
Plagiotremus rhinorhynchos	Blenniidae	Plagiotremus	1	1	1	0	0	0	0	0
Neoniphon sammara	Holocentridae	Neoniphon	0	1	1	0	0	0	0	0
Pseudochromis fuscus	Pseudochromidae	Pseudochromis	0	1	1	0	0	0	0	0
Ostorhinchus compressus	Apogonidae	Ostorhinchus	0	1	1	0	0	0	0	0
Ostorhinchus sealei	Apogonidae	Ostorhinchus	0	1	1	0	0	0	0	0
Lethrinus harak	Lethrinidae	Lethrinus	0	1	1	0	0	0	0	0
Scolopsis lineata	Nemipteridae	Scolopsis	0	1	1	0	0	0	0	0
Abudefduf sexfasciatus	Pomacentridae	Abudefduf	0	1	1	0	0	0	0	0
Chromis lineata	Pomacentridae	Chromis	0	1	1	0	0	0	0	0
Neoglyphidodon thoracotaeniatus	Pomacentridae	Neoglyphidodon	0	1	1	0	0	0	0	0
Oxycheilinus orientalis	Labridae	Oxycheilinus	0	1	1	0	0	0	0	0
Hipposcarus longiceps	Scaridae	Hipposcarus	0	1	1	0	0	0	0	0
Parapercis schauinslandii	Pinguipedidae	Parapercis	0	1	1	0	0	0	0	0
Amblygobius phalaena	Gobiidae	Amblygobius	0	1	1	0	0	0	0	0
Koumansetta rainfordi	Gobiidae	Koumansetta	0	1	1	0	0	0	0	0
Platax boersii	Ephippidae	Platax	0	1	1	0	0	0	0	0
Rhinecanthus verrucosus	Balistidae	Rhinecanthus	0	1	1	0	0	0	0	0
Sufflamen fraenatum	Balistidae	Sufflamen	0	1	1	0	0	0	0	0
Stethojulis bandanensis	Labridae	Stethojulis	1	0	1	0	0	0	0	0
Hemiscyllium freycineti	Hemiscylliidae	Hemiscyllium	0	0	1	0	0	0	0	0
Taeniura lymma	Dasyatidae	Taeniura	0	0	1	0	0	0	0	0
Moringua microchir	Moringuidae	Moringua	0	0	1	0	0	0	0	0
Myrichthys colubrinus	Ophichthidae	Myrichthys	0	0	1	0	0	0	0	0
Myrichthys maculosus	Ophichthidae	Myrichthys	0	0	1	0	0	0	0	0
Spratelloides delicatulus	Clupeidae	Spratelloides	0	0	1	0	0	0	0	0
Histiophryne cryptacanthus	Antennariidae	Histiophryne	0	0	1	0	0	0	0	0
Hypoatherina temminckii	Atherinidae	Hypoatherina	0	0	1	0	0	0	0	0
Hemiramphus far	Hemiramphidae	Hemiramphus	0	0	1	0	0	0	0	0
Sargocentron diadema	Holocentridae	Sargocentron	0	0	1	0	0	0	0	0
Inimicus didactylus	Synanceiidae	Inimicus	0	0	1	0	0	0	0	0
Cephalopholis microprion	Serranidae	Cephalopholis	0	0	1	0	0	0	0	0
Epinephelus merra	Serranidae	Epinephelus	0	0	1	0	0	0	0	0
Variola louti	Serranidae	Variola	0	0	1	0	0	0	0	0
Pristiapogon kallopterus	Apogonidae	Pristiapogon	0	0	1	0	0	0	0	0
Ostorhinchus novemfasciatus	Apogonidae	Ostorhinchus	0	0	1	0	0	0	0	0
Apogonichthyoides timorensis	Apogonidae	Apogonichthyoides	0	0	1	0	0	0	0	0
Ostorhinchus wassinki	Apogonidae	Ostorhinchus	0	0	1	0	0	0	0	0
Taeniamia macroptera	Apogonidae	Taeniamia	0	0	1	0	0	0	0	0
Cheilodipterus artus	Apogonidae	Cheilodipterus	0	0	1	0	0	0	0	0
Selar crumenophthalmus	Carangidae	Selar	0	0	1	0	0	0	0	0
Gerres oyena	Gerreidae	Gerres	0	0	1	0	0	0	0	0
Plectorhinchus vittatus	Haemulidae	Plectorhinchus	0	0	1	0	0	0	0	0
Lethrinus atkinsoni	Lethrinidae	Lethrinus	0	0	1	0	0	0	0	0
Scolopsis affinis	Nemipteridae	Scolopsis	0	0	1	0	0	0	0	0
Scolopsis ciliata	Nemipteridae	Scolopsis	0	0	1	0	0	0	0	0
Scolopsis temporalis	Nemipteridae	Scolopsis	0	0	1	0	0	0	0	0
Parupeneus pleurostigma	Mullidae	Parupeneus	0	0	1	0	0	0	0	0
Pomacanthus semicirculatus	Pomacanthidae	Pomacanthus	0	0	1	0	0	0	0	0
Cheiloprion labiatus	Pomacentridae	Cheiloprion	0	0	1	0	0	0	0	0
Chrysiptera unimaculata	Pomacentridae	Chrysiptera	0	0	1	0	0	0	0	0
Dischistodus chrysopoecilus	Pomacentridae	Dischistodus	0	0	1	0	0	0	0	0
Dischistodus melanotus	Pomacentridae	Dischistodus	0	0	1	0	0	0	0	0
Pomacentrus chrysurus	Pomacentridae	Pomacentrus	0	0	1	0	0	0	0	0
Pomacentrus grammorhynchus	Pomacentridae	Pomacentrus	0	0	1	0	0	0	0	0
Pomacentrus opisthostigma	Pomacentridae	Pomacentrus	0	0	1	0	0	0	0	0
Pomacentrus smithi	Pomacentridae	Pomacentrus	0	0	1	0	0	0	0	0
Stegastes lividus	Pomacentridae	Stegastes	0	0	1	0	0	0	0	0
Stegastes nigricans	Pomacentridae	Stegastes	0	0	1	0	0	0	0	0
Cheilinus chlorourus	Labridae	Cheilinus	0	0	1	0	0	0	0	0
Cheilio inermis	Labridae	Cheilio	0	0	1	0	0	0	0	0
Cirrhilabrus condei	Labridae	Cirrhilabrus	0	0	1	0	0	0	0	0
Halichoeres hartzfeldii	Labridae	Halichoeres	0	0	1	0	0	0	0	0
Halichoeres papilionaceus	Labridae	Halichoeres	0	0	1	0	0	0	0	0
Pteragogus cryptus	Labridae	Pteragogus	0	0	1	0	0	0	0	0
Stethojulis interrupta	Labridae	Stethojulis	0	0	1	0	0	0	0	0
Stethojulis strigiventer	Labridae	Stethojulis	0	0	1	0	0	0	0	0
Calotomus carolinus	Scaridae	Calotomus	0	0	1	0	0	0	0	0
Leptoscarus vaigiensis	Scaridae	Leptoscarus	0	0	1	0	0	0	0	0
Parapercis cylindrica	Pinguipedidae	Parapercis	0	0	1	0	0	0	0	0
Salarias fasciatus	Blenniidae	Salarias	0	0	1	0	0	0	0	0
Amblyeleotris guttata	Gobiidae	Amblyeleotris	0	0	1	0	0	0	0	0
Eviota guttata	Gobiidae	Eviota	0	0	1	0	0	0	0	0
Valenciennea sexguttata	Gobiidae	Valenciennea	0	0	1	0	0	0	0	0
Platax orbicularis	Ephippidae	Platax	0	0	1	0	0	0	0	0
Platax teira	Ephippidae	Platax	0	0	1	0	0	0	0	0
Siganus canaliculatus	Siganidae	Siganus	0	0	1	0	0	0	0	0
Sphyraena barracuda	Sphyraenidae	Sphyraena	0	0	1	0	0	0	0	0
Sphyraena jello	Sphyraenidae	Sphyraena	0	0	1	0	0	0	0	0
Amanses scopas	Monacanthidae	Amanses	0	0	1	0	0	0	0	0
Oxymonacanthus longirostris	Monacanthidae	Oxymonacanthus	0	0	1	0	0	0	0	0
Pervagor melanocephalus	Monacanthidae	Pervagor	0	0	1	0	0	0	0	0
Pseudomonacanthus macrurus	Monacanthidae	Pseudomonacanthus	0	0	1	0	0	0	0	0
Canthigaster papua	Tetraodontidae	Canthigaster	0	0	1	0	0	0	0	0
Chaetodon ornatissimus	Chaetodontidae	Chaetodon	1	1	0	0	0	0	0	0
Triaenodon obesus	Carcharhinidae	Triaenodon	0	1	0	0	0	0	0	0
Diademichthys lineatus	Gobiesocidae	Diademichthys	0	1	0	0	0	0	0	0
Pseudanthias dispar	Serranidae	Pseudanthias	0	1	0	0	0	0	0	0
Pseudochromis elongatus	Pseudochromidae	Pseudochromis	0	1	0	0	0	0	0	0
Pseudochromis marshallensis	Pseudochromidae	Pseudochromis	0	1	0	0	0	0	0	0
Oxycirrhites typus	Cirrhitidae	Oxycirrhites	0	1	0	0	0	0	0	0
Ostorhinchus fleurieu	Apogonidae	Ostorhinchus	0	1	0	0	0	0	0	0
Nectamia fusca	Apogonidae	Nectamia	0	1	0	0	0	0	0	0
Lutjanus kasmira	Lutjanidae	Lutjanus	0	1	0	0	0	0	0	0
Gymnocranius grandoculis	Lethrinidae	Gymnocranius	0	1	0	0	0	0	0	0
Lethrinus olivaceus	Lethrinidae	Lethrinus	0	1	0	0	0	0	0	0
Scolopsis xenochrous	Nemipteridae	Scolopsis	0	1	0	0	0	0	0	0
Chaetodon unimaculatus	Chaetodontidae	Chaetodon	0	1	0	0	0	0	0	0
Hemitaurichthys polylepis	Chaetodontidae	Hemitaurichthys	0	1	0	0	0	0	0	0
Pomacentrus pavo	Pomacentridae	Pomacentrus	0	1	0	0	0	0	0	0
Oxycheilinus bimaculatus	Labridae	Oxycheilinus	0	1	0	0	0	0	0	0
Scarus schlegeli	Scaridae	Scarus	0	1	0	0	0	0	0	0
Ecsenius yaeyamaensis	Blenniidae	Ecsenius	0	1	0	0	0	0	0	0
Neosynchiropus ocellatus	Callionymidae	Neosynchiropus	0	1	0	0	0	0	0	0
Amblyeleotris latifasciata	Gobiidae	Amblyeleotris	0	1	0	0	0	0	0	0
Ctenochaetus strigosus	Acanthuridae	Ctenochaetus	0	1	0	0	0	0	0	0
Naso caeruleacauda	Acanthuridae	Naso	0	1	0	0	0	0	0	0
Gymnothorax melatremus	Muraenidae	Gymnothorax	1	0	0	0	0	0	0	0
Gymnothorax zonipectis	Muraenidae	Gymnothorax	1	0	0	0	0	0	0	0
Pterois antennata	Scorpaenidae	Pterois	1	0	0	0	0	0	0	0
Sebastapistes cyanostigma	Scorpaenidae	Sebastapistes	1	0	0	0	0	0	0	0
Cephalopholis sexmaculata	Serranidae	Cephalopholis	1	0	0	0	0	0	0	0
Pseudanthias randalli	Serranidae	Pseudanthias	1	0	0	0	0	0	0	0
Amsichthys knighti	Pseudochromidae	Amsichthys	1	0	0	0	0	0	0	0
Pseudoplesiops annae	Pseudochromidae	Pseudoplesiops	1	0	0	0	0	0	0	0
Apogon crassiceps	Apogonidae	Apogon	1	0	0	0	0	0	0	0
Ostorhinchus dispar	Apogonidae	Ostorhinchus	1	0	0	0	0	0	0	0
Ostorhinchus melanoproctus	Apogonidae	Ostorhinchus	1	0	0	0	0	0	0	0
Pseudamia hayashii	Apogonidae	Pseudamia	1	0	0	0	0	0	0	0
Scomberoides lysan	Carangidae	Scomberoides	1	0	0	0	0	0	0	0
Lethrinus erythracanthus	Lethrinidae	Lethrinus	1	0	0	0	0	0	0	0
Lethrinus xanthochilus	Lethrinidae	Lethrinus	1	0	0	0	0	0	0	0
Pempheris mangula	Pempheridae	Pempheris	1	0	0	0	0	0	0	0
Anampses melanurus	Labridae	Anampses	1	0	0	0	0	0	0	0
Halichoeres podostigma	Labridae	Halichoeres	1	0	0	0	0	0	0	0
Parapercis millepunctata	Pinguipedidae	Parapercis	1	0	0	0	0	0	0	0
Cirripectes castaneus	Blenniidae	Cirripectes	1	0	0	0	0	0	0	0
Eviota sparsa	Gobiidae	Eviota	1	0	0	0	0	0	0	0
Priolepis fallacincta	Gobiidae	Priolepis	1	0	0	0	0	0	0	0
Sueviota atrinasa	Gobiidae	Sueviota	1	0	0	0	0	0	0	0
Trimma emeryi	Gobiidae	Trimma	1	0	0	0	0	0	0	0
Trimma taylori	Gobiidae	Trimma	1	0	0	0	0	0	0	0
Xenisthmus polyzonatus	Xenisthmidae	Xenisthmus	1	0	0	0	0	0	0	0
Naso thynnoides	Acanthuridae	Naso	1	0	0	0	0	0	0	0
Pervagor janthinosoma	Monacanthidae	Pervagor	1	0	0	0	0	0	0	0
Arothron hispidus	Tetraodontidae	Arothron	1	0	0	0	0	0	0	0
Apogon talboti	Apogonidae	Apogon	0	0	0	0	0	0	0	0
Taeniamia biguttata	Apogonidae	Taeniamia	0	0	0	0	0	0	0	0
